condition,used_guild,worker,provider,model,task_type,correct,price,latency_ms
A,False,Budget-Guess,mock,mock-1,fact_check,False,0.003,291.0
A,False,Sci-Specialist,mock,mock-1,fact_check,True,0.011,586.8
A,False,Budget-Guess,mock,mock-1,fact_check,False,0.003,315.1
A,False,Budget-Guess,mock,mock-1,fact_check,False,0.003,246.0
A,False,Sci-Specialist,mock,mock-1,fact_check,True,0.011,704.9
A,False,Sci-Specialist,mock,mock-1,fact_check,True,0.011,715.8
A,False,Haiku-Reliable,mock,mock-1,fact_check,False,0.014,786.3
A,False,Haiku-Reliable,mock,mock-1,fact_check,True,0.014,834.6
A,False,Sci-Specialist,mock,mock-1,fact_check,True,0.011,621.9
A,False,Budget-Guess,mock,mock-1,support,False,0.003,244.4
A,False,Sloppy-Claude,mock,mock-1,support,True,0.008,515.5
A,False,Sci-Specialist,mock,mock-1,support,True,0.011,705.7
A,False,Haiku-Reliable,mock,mock-1,support,True,0.014,759.8
A,False,Atlas-Premium,mock,mock-1,support,True,0.02,1176.1
A,False,Budget-Guess,mock,mock-1,support,False,0.003,250.0
A,False,Mini-Fast,mock,mock-1,support,True,0.006,448.7
A,False,Haiku-Reliable,mock,mock-1,support,True,0.014,867.5
A,False,Atlas-Premium,mock,mock-1,contradiction,True,0.02,1190.3
A,False,Sci-Specialist,mock,mock-1,contradiction,True,0.011,595.4
A,False,Sloppy-Claude,mock,mock-1,contradiction,True,0.008,409.4
A,False,Sloppy-Claude,mock,mock-1,contradiction,True,0.008,598.6
A,False,Atlas-Premium,mock,mock-1,contradiction,True,0.02,966.7
A,False,Sci-Specialist,mock,mock-1,contradiction,True,0.011,741.2
A,False,Budget-Guess,mock,mock-1,contradiction,True,0.003,307.4
A,False,Budget-Guess,mock,mock-1,contradiction,True,0.003,315.4
A,False,Sloppy-Claude,mock,mock-1,summary,True,0.008,484.2
A,False,Sloppy-Claude,mock,mock-1,summary,False,0.008,438.6
A,False,Sci-Specialist,mock,mock-1,summary,True,0.011,794.7
A,False,Sloppy-Claude,mock,mock-1,summary,True,0.008,409.8
A,False,Haiku-Reliable,mock,mock-1,fact_check,True,0.014,775.5
A,False,Sci-Specialist,mock,mock-1,fact_check,True,0.011,586.8
A,False,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1120.6
A,False,Sci-Specialist,mock,mock-1,fact_check,True,0.011,681.3
A,False,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1001.8
A,False,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1049.8
A,False,Atlas-Premium,mock,mock-1,fact_check,False,0.02,972.8
A,False,Haiku-Reliable,mock,mock-1,fact_check,True,0.014,834.6
A,False,Haiku-Reliable,mock,mock-1,fact_check,True,0.014,747.1
A,False,Sci-Specialist,mock,mock-1,support,True,0.011,647.1
A,False,Atlas-Premium,mock,mock-1,support,True,0.02,1196.0
B,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1242.4
B,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1121.4
B,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1120.6
B,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1244.6
B,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1001.8
B,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1049.8
B,True,Atlas-Premium,mock,mock-1,fact_check,False,0.02,972.8
B,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1213.8
B,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1074.8
B,True,Atlas-Premium,mock,mock-1,support,True,0.02,1085.7
B,True,Mini-Fast,mock,mock-1,support,True,0.006,386.1
B,True,Atlas-Premium,mock,mock-1,support,True,0.02,1105.6
B,True,Atlas-Premium,mock,mock-1,support,True,0.02,1236.2
B,True,Atlas-Premium,mock,mock-1,support,True,0.02,1176.1
B,True,Atlas-Premium,mock,mock-1,support,True,0.02,1093.1
B,True,Atlas-Premium,mock,mock-1,support,True,0.02,1317.3
B,True,Atlas-Premium,mock,mock-1,support,True,0.02,1170.7
B,True,Atlas-Premium,mock,mock-1,contradiction,True,0.02,1190.3
B,True,Atlas-Premium,mock,mock-1,contradiction,True,0.02,934.0
B,True,Atlas-Premium,mock,mock-1,contradiction,True,0.02,1156.5
B,True,Atlas-Premium,mock,mock-1,contradiction,True,0.02,1253.3
B,True,Atlas-Premium,mock,mock-1,contradiction,True,0.02,966.7
B,True,Atlas-Premium,mock,mock-1,contradiction,True,0.02,1175.0
B,True,Atlas-Premium,mock,mock-1,contradiction,False,0.02,1302.0
B,True,Atlas-Premium,mock,mock-1,contradiction,True,0.02,956.6
B,True,Budget-Guess,mock,mock-1,summary,True,0.003,258.2
B,True,Atlas-Premium,mock,mock-1,summary,True,0.02,979.0
B,True,Atlas-Premium,mock,mock-1,summary,False,0.02,1096.1
B,True,Atlas-Premium,mock,mock-1,summary,True,0.02,1142.2
B,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1242.4
B,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1121.4
B,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1120.6
B,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1244.6
B,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1001.8
B,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1049.8
B,True,Atlas-Premium,mock,mock-1,fact_check,False,0.02,972.8
B,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1213.8
B,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1074.8
B,True,Atlas-Premium,mock,mock-1,support,True,0.02,1085.7
B,True,Atlas-Premium,mock,mock-1,support,True,0.02,1196.0
C,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1242.4
C,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1121.4
C,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1120.6
C,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1244.6
C,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1001.8
C,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1049.8
C,False,Haiku-Reliable,mock,mock-1,fact_check,False,0.014,786.3
C,False,Sci-Specialist,mock,mock-1,fact_check,True,0.011,599.6
C,False,Budget-Guess,mock,mock-1,fact_check,True,0.003,240.8
C,False,Sloppy-Claude,mock,mock-1,support,True,0.008,597.3
C,False,Sci-Specialist,mock,mock-1,support,True,0.011,630.9
C,False,Haiku-Reliable,mock,mock-1,support,True,0.014,700.9
C,True,Mini-Fast,mock,mock-1,support,True,0.006,392.9
C,False,Sci-Specialist,mock,mock-1,support,True,0.011,561.5
C,False,Budget-Guess,mock,mock-1,support,False,0.003,250.0
C,False,Sci-Specialist,mock,mock-1,support,True,0.011,766.2
C,False,Sci-Specialist,mock,mock-1,support,True,0.011,622.3
C,False,Atlas-Premium,mock,mock-1,contradiction,True,0.02,1190.3
C,False,Sci-Specialist,mock,mock-1,contradiction,True,0.011,595.4
C,True,Atlas-Premium,mock,mock-1,contradiction,True,0.02,1156.5
C,True,Atlas-Premium,mock,mock-1,contradiction,True,0.02,1253.3
C,False,Budget-Guess,mock,mock-1,contradiction,False,0.003,243.1
C,True,Atlas-Premium,mock,mock-1,contradiction,True,0.02,1175.0
C,False,Sci-Specialist,mock,mock-1,contradiction,True,0.011,663.8
C,True,Atlas-Premium,mock,mock-1,contradiction,True,0.02,956.6
C,False,Mini-Fast,mock,mock-1,summary,False,0.006,432.1
C,True,Atlas-Premium,mock,mock-1,summary,True,0.02,979.0
C,False,Atlas-Premium,mock,mock-1,summary,False,0.02,1096.1
C,False,Mini-Fast,mock,mock-1,summary,True,0.006,436.9
C,False,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1242.4
C,True,Sci-Specialist,mock,mock-1,fact_check,True,0.011,586.8
C,True,Sloppy-Claude,mock,mock-1,fact_check,False,0.008,446.5
C,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1244.6
C,False,Sloppy-Claude,mock,mock-1,fact_check,False,0.008,565.4
C,False,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1049.8
C,False,Atlas-Premium,mock,mock-1,fact_check,False,0.02,972.8
C,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1213.8
C,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1074.8
C,False,Haiku-Reliable,mock,mock-1,support,True,0.014,884.0
C,True,Atlas-Premium,mock,mock-1,support,True,0.02,1196.0
C,False,Sloppy-Claude,mock,mock-1,support,False,0.008,404.4
C,True,Atlas-Premium,mock,mock-1,support,True,0.02,1236.2
C,True,Atlas-Premium,mock,mock-1,support,True,0.02,1176.1
C,True,Budget-Guess,mock,mock-1,support,False,0.003,250.0
C,True,Atlas-Premium,mock,mock-1,support,True,0.02,1317.3
C,True,Atlas-Premium,mock,mock-1,support,True,0.02,1170.7
C,True,Atlas-Premium,mock,mock-1,contradiction,True,0.02,1190.3
C,False,Haiku-Reliable,mock,mock-1,contradiction,True,0.014,783.3
C,True,Sloppy-Claude,mock,mock-1,contradiction,True,0.008,409.4
C,False,Mini-Fast,mock,mock-1,contradiction,True,0.006,515.6
C,True,Sci-Specialist,mock,mock-1,contradiction,True,0.011,563.5
C,True,Atlas-Premium,mock,mock-1,contradiction,True,0.02,1175.0
C,True,Atlas-Premium,mock,mock-1,contradiction,False,0.02,1302.0
C,True,Atlas-Premium,mock,mock-1,contradiction,True,0.02,956.6
C,True,Atlas-Premium,mock,mock-1,summary,True,0.02,1288.8
C,False,Haiku-Reliable,mock,mock-1,summary,True,0.014,823.6
C,True,Atlas-Premium,mock,mock-1,summary,False,0.02,1096.1
C,True,Atlas-Premium,mock,mock-1,summary,True,0.02,1142.2
C,False,Haiku-Reliable,mock,mock-1,fact_check,True,0.014,775.5
C,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1121.4
C,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1120.6
C,False,Sci-Specialist,mock,mock-1,fact_check,True,0.011,681.3
C,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1001.8
C,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1049.8
C,False,Budget-Guess,mock,mock-1,fact_check,False,0.003,309.2
C,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1213.8
C,True,Atlas-Premium,mock,mock-1,fact_check,True,0.02,1074.8
C,False,Sloppy-Claude,mock,mock-1,support,True,0.008,597.3
C,True,Atlas-Premium,mock,mock-1,support,True,0.02,1196.0
C,True,Atlas-Premium,mock,mock-1,support,True,0.02,1105.6
C,True,Sci-Specialist,mock,mock-1,support,True,0.011,752.2
C,True,Atlas-Premium,mock,mock-1,support,True,0.02,1176.1
